2017-03-24 13:58:35.452 I 3012 SampleAnalyzer-0: constructed
2017-03-24 13:58:36.021 I 8068 SampleAnalyzer-0: block transfers changed
2017-03-24 13:58:36.028 I 4516 SampleAnalyzer-0: released 273 samples
2017-03-24 13:58:36.028 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 4516 SampleAnalyzer-0: released 351 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 4516 SampleAnalyzer-0: released 280 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 4516 SampleAnalyzer-0: released 280 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 4516 SampleAnalyzer-0: released 288 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 4516 SampleAnalyzer-0: released 345 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.029 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 4516 SampleAnalyzer-0: released 351 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 4516 SampleAnalyzer-0: released 280 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 4516 SampleAnalyzer-0: released 232 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.030 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.031 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.031 I 4516 SampleAnalyzer-0: released 273 samples
2017-03-24 13:58:36.031 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.039 I 4516 SampleAnalyzer-0: released 351 samples
2017-03-24 13:58:36.039 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.039 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.039 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.039 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.047 I 4516 SampleAnalyzer-0: released 279 samples
2017-03-24 13:58:36.047 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.047 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.047 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.055 I 4516 SampleAnalyzer-0: released 274 samples
2017-03-24 13:58:36.055 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.055 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 4516 SampleAnalyzer-0: released 1028 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.096 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.097 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.097 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.097 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.097 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.097 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 4516 SampleAnalyzer-0: released 1023 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.126 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.127 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.127 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.127 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.127 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.237 I 4516 SampleAnalyzer-0: released 4090 samples
2017-03-24 13:58:36.237 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.237 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.237 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.237 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.238 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.239 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.240 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.241 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 4516 SampleAnalyzer-0: released 1023 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.284 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.285 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.285 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.285 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.285 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 4516 SampleAnalyzer-0: released 1023 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.306 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.307 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.307 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.307 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.307 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 4516 SampleAnalyzer-0: released 6161 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.463 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.464 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.465 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.466 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.467 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.468 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.469 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.470 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.470 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.470 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.470 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.470 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.493 I 4516 SampleAnalyzer-0: released 1023 samples
2017-03-24 13:58:36.493 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.493 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.493 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.493 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.493 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.494 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.494 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.494 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.494 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.494 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 4516 SampleAnalyzer-0: released 5079 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.624 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.625 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.626 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.627 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.628 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.629 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.630 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 4516 SampleAnalyzer-0: released 1023 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.650 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.651 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.651 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.651 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 4516 SampleAnalyzer-0: released 3277 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.734 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.735 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.736 I 8068 SampleAnalyzer-0: acquired 100 samples
2017-03-24 13:58:36.737 I 8068 SampleAnalyzer-0: acquired 100 samples
